time x y z yaw
0.032 24.1341 -1.3902 0.3292 1.5710
0.064 24.1413 -1.3901 0.3341 1.5897
0.096 24.1559 -1.3899 0.3356 1.5947
0.128 24.1777 -1.3897 0.3337 1.5879
0.160 24.2067 -1.3895 0.3276 1.5664
0.192 24.2262 -1.3894 0.3302 1.5750
0.224 24.2522 -1.3892 0.3266 1.5628
0.256 24.2729 -1.3890 0.3281 1.5675
0.288 24.2948 -1.3889 0.3283 1.5683
0.320 24.3169 -1.3887 0.3285 1.5689
0.352 24.3389 -1.3886 0.3286 1.5693
0.384 24.3610 -1.3884 0.3288 1.5696
0.416 24.3831 -1.3882 0.3288 1.5699
0.448 24.4052 -1.3881 0.3289 1.5701
0.480 24.4273 -1.3879 0.3290 1.5702
0.512 24.4494 -1.3877 0.3290 1.5703
0.544 24.4716 -1.3876 0.3290 1.5704
0.576 24.4937 -1.3874 0.3291 1.5705
0.608 24.5159 -1.3873 0.3291 1.5706
0.640 24.5381 -1.3871 0.3291 1.5706
0.672 24.5602 -1.3869 0.3291 1.5706
0.704 24.5824 -1.3868 0.3291 1.5706
0.736 24.6045 -1.3866 0.3291 1.5706
0.768 24.6267 -1.3865 0.3291 1.5707
0.800 24.6489 -1.3863 0.3292 1.5707
0.832 24.6711 -1.3861 0.3292 1.5707
0.864 24.6932 -1.3860 0.3292 1.5707
0.896 24.7154 -1.3858 0.3292 1.5707
0.928 24.7376 -1.3857 0.3292 1.5707
0.960 24.7597 -1.3855 0.3292 1.5707
0.992 24.7819 -1.3853 0.3292 1.5707
1.024 24.8041 -1.3852 0.3292 1.5707
1.056 24.8263 -1.3850 0.3292 1.5707
1.088 24.8484 -1.3848 0.3292 1.5707
1.120 24.8706 -1.3847 0.3292 1.5707
1.152 24.8928 -1.3845 0.3292 1.5707
1.184 24.9150 -1.3844 0.3292 1.5707
1.216 24.9371 -1.3842 0.3292 1.5708
1.248 24.9593 -1.3840 0.3292 1.5708
1.280 24.9815 -1.3839 0.3292 1.5708
1.312 25.0037 -1.3837 0.3292 1.5708
1.344 25.0258 -1.3836 0.3292 1.5708
1.376 25.0480 -1.3834 0.3292 1.5708
1.408 25.0702 -1.3832 0.3292 1.5708
1.440 25.0924 -1.3831 0.3292 1.5708
1.472 25.1145 -1.3829 0.3292 1.5708
1.504 25.1367 -1.3827 0.3292 1.5708
1.536 25.1589 -1.3826 0.3292 1.5708
1.568 25.1811 -1.3824 0.3292 1.5708
1.600 25.2032 -1.3823 0.3292 1.5708
1.632 25.2254 -1.3821 0.3292 1.5708
1.664 25.2476 -1.3819 0.3292 1.5708
1.696 25.2698 -1.3818 0.3292 1.5708
1.728 25.2919 -1.3816 0.3292 1.5708
