time  x  y  z  yaw
0.032 163.1870 1.2424 0.3292 0.0000
0.064 163.1942 1.2417 0.3342 0.0000
0.096 163.2087 1.2407 0.3358 0.0000
0.128 163.2305 1.2394 0.3340 0.0000
0.160 163.2594 1.2381 0.3281 0.0000
0.192 163.2794 1.2371 0.3306 0.0000
0.224 163.3059 1.2359 0.3269 0.0000
0.256 163.3269 1.2349 0.3284 0.0000
0.288 163.3492 1.2339 0.3286 0.0000
0.320 163.3716 1.2328 0.3287 0.0000
0.352 163.3940 1.2318 0.3288 0.0000
0.384 163.4165 1.2307 0.3289 0.0000
0.416 163.4389 1.2296 0.3290 0.0000
0.448 163.4614 1.2286 0.3290 0.0000
0.480 163.4839 1.2275 0.3290 0.0000
0.512 163.5064 1.2265 0.3291 0.0000
0.544 163.5288 1.2254 0.3291 0.0000
0.576 163.5513 1.2244 0.3291 0.0000
0.608 163.5738 1.2233 0.3291 0.0000
0.640 163.5963 1.2223 0.3291 0.0000
0.672 163.6188 1.2212 0.3291 0.0000
0.704 163.6413 1.2202 0.3291 0.0000
0.736 163.6638 1.2191 0.3292 0.0000
0.768 163.6863 1.2180 0.3292 0.0000
0.800 163.7088 1.2170 0.3292 0.0000
0.832 163.7313 1.2159 0.3292 0.0000
0.864 163.7538 1.2149 0.3292 0.0000
0.896 163.7763 1.2138 0.3292 0.0000
0.928 163.7988 1.2128 0.3292 0.0000
0.960 163.8213 1.2117 0.3292 0.0000
0.992 163.8438 1.2107 0.3292 0.0000
1.024 163.8663 1.2096 0.3292 0.0000
1.056 163.8888 1.2086 0.3292 0.0000
1.088 163.9113 1.2075 0.3292 0.0000
1.120 163.9338 1.2064 0.3292 0.0000
1.152 163.9563 1.2054 0.3292 0.0000
1.184 163.9788 1.2043 0.3292 0.0000
1.216 164.0013 1.2033 0.3292 0.0000
1.248 164.0238 1.2022 0.3292 0.0000
1.280 164.0463 1.2012 0.3292 0.0000
1.312 164.0688 1.2001 0.3292 0.0000
1.344 164.0913 1.1991 0.3292 0.0000
1.376 164.1138 1.1980 0.3292 0.0000
1.408 164.1363 1.1969 0.3292 0.0000
1.440 164.1588 1.1959 0.3292 0.0000
1.472 164.1814 1.1948 0.3292 0.0000
1.504 164.2039 1.1938 0.3292 0.0000
1.536 164.2264 1.1927 0.3292 0.0000
1.568 164.2489 1.1917 0.3292 0.0000
1.600 164.2714 1.1906 0.3292 0.0000
1.632 164.2939 1.1896 0.3292 0.0000
1.664 164.3164 1.1885 0.3292 0.0000
1.696 164.3389 1.1874 0.3292 0.0000
1.728 164.3614 1.1864 0.3292 0.0000
1.760 164.3839 1.1853 0.3292 0.0000
1.792 164.4064 1.1843 0.3292 0.0000
1.824 164.4289 1.1832 0.3292 0.0000
1.856 164.4514 1.1822 0.3292 0.0000
1.888 164.4739 1.1811 0.3292 0.0000
1.920 164.4964 1.1801 0.3292 0.0000
1.952 164.5189 1.1790 0.3292 0.0000
1.984 164.5414 1.1780 0.3292 0.0000
2.016 164.5639 1.1769 0.3292 0.0000
