time x y z yaw
0.032 24.1341 -1.3902 0.3292 1.5710
0.064 24.1413 -1.3901 0.3341 1.5899
0.096 24.1559 -1.3899 0.3357 1.5950
0.128 24.1777 -1.3897 0.3338 1.5884
0.160 24.2066 -1.3895 0.3280 1.5679
0.192 24.2266 -1.3894 0.3305 1.5760
0.224 24.2532 -1.3892 0.3268 1.5634
0.256 24.2742 -1.3890 0.3283 1.5682
0.288 24.2965 -1.3889 0.3285 1.5690
0.320 24.3189 -1.3887 0.3287 1.5694
0.352 24.3413 -1.3885 0.3288 1.5697
0.384 24.3638 -1.3884 0.3288 1.5699
0.416 24.3862 -1.3882 0.3289 1.5701
0.448 24.4087 -1.3880 0.3290 1.5703
0.480 24.4312 -1.3879 0.3290 1.5704
0.512 24.4537 -1.3877 0.3290 1.5705
0.544 24.4762 -1.3875 0.3291 1.5705
0.576 24.4987 -1.3874 0.3291 1.5706
0.608 24.5212 -1.3872 0.3291 1.5706
0.640 24.5437 -1.3871 0.3291 1.5706
0.672 24.5663 -1.3869 0.3291 1.5707
0.704 24.5888 -1.3867 0.3291 1.5707
0.736 24.6113 -1.3866 0.3292 1.5707
0.768 24.6338 -1.3864 0.3292 1.5707
0.800 24.6563 -1.3862 0.3292 1.5707
0.832 24.6789 -1.3861 0.3292 1.5707
0.864 24.7014 -1.3859 0.3292 1.5707
0.896 24.7239 -1.3857 0.3292 1.5707
0.928 24.7464 -1.3856 0.3292 1.5707
0.960 24.7690 -1.3854 0.3292 1.5707
0.992 24.7915 -1.3853 0.3292 1.5707
1.024 24.8140 -1.3851 0.3292 1.5707
1.056 24.8366 -1.3849 0.3292 1.5707
1.088 24.8591 -1.3848 0.3292 1.5707
1.120 24.8816 -1.3846 0.3292 1.5707
1.152 24.9041 -1.3844 0.3292 1.5707
1.184 24.9267 -1.3843 0.3292 1.5708
1.216 24.9492 -1.3841 0.3292 1.5708
1.248 24.9717 -1.3839 0.3292 1.5708
1.280 24.9942 -1.3838 0.3292 1.5708
1.312 25.0168 -1.3836 0.3292 1.5708
1.344 25.0393 -1.3834 0.3292 1.5708
1.376 25.0618 -1.3833 0.3292 1.5708
1.408 25.0844 -1.3831 0.3292 1.5708
1.440 25.1069 -1.3830 0.3292 1.5708
1.472 25.1294 -1.3828 0.3292 1.5708
1.504 25.1519 -1.3826 0.3292 1.5708
1.536 25.1745 -1.3825 0.3292 1.5708
1.568 25.1970 -1.3823 0.3292 1.5708
1.600 25.2195 -1.3821 0.3292 1.5708
1.632 25.2420 -1.3820 0.3292 1.5708
1.664 25.2646 -1.3818 0.3292 1.5708
1.696 25.2871 -1.3816 0.3292 1.5708
1.728 25.3096 -1.3815 0.3292 1.5707
1.760 25.3322 -1.3813 0.3292 1.5707
1.792 25.3547 -1.3812 0.3292 1.5707
1.824 25.3772 -1.3810 0.3292 1.5707
1.856 25.3997 -1.3808 0.3292 1.5707
1.888 25.4223 -1.3807 0.3292 1.5707
1.920 25.4448 -1.3805 0.3292 1.5707
1.952 25.4673 -1.3803 0.3292 1.5707
1.984 25.4898 -1.3802 0.3292 1.5707
2.016 25.5124 -1.3800 0.3292 1.5707
2.048 25.5349 -1.3798 0.3292 1.5707
2.080 25.5574 -1.3797 0.3292 1.5707
2.112 25.5800 -1.3795 0.3292 1.5707
2.144 25.6025 -1.3794 0.3292 1.5707
2.176 25.6250 -1.3792 0.3292 1.5708
2.208 25.6475 -1.3790 0.3292 1.5708
2.240 25.6701 -1.3789 0.3292 1.5708
2.272 25.6926 -1.3787 0.3292 1.5708
2.304 25.7151 -1.3785 0.3292 1.5708
2.336 25.7376 -1.3784 0.3292 1.5708
2.368 25.7602 -1.3782 0.3292 1.5708
2.400 25.7827 -1.3780 0.3292 1.5708
2.432 25.8052 -1.3779 0.3292 1.5708
2.464 25.8278 -1.3777 0.3292 1.5708
2.496 25.8503 -1.3775 0.3292 1.5708
2.528 25.8728 -1.3774 0.3292 1.5708
2.560 25.8953 -1.3772 0.3292 1.5708
2.592 25.9179 -1.3771 0.3292 1.5708
2.624 25.9404 -1.3769 0.3292 1.5708
2.656 25.9629 -1.3767 0.3292 1.5708
2.688 25.9854 -1.3766 0.3292 1.5708
2.720 26.0080 -1.3764 0.3292 1.5707
2.752 26.0305 -1.3762 0.3292 1.5707
2.784 26.0530 -1.3761 0.3292 1.5707
2.816 26.0756 -1.3759 0.3292 1.5707
2.848 26.0981 -1.3757 0.3292 1.5707
2.880 26.1206 -1.3756 0.3292 1.5707
2.912 26.1431 -1.3754 0.3292 1.5707
2.944 26.1657 -1.3753 0.3292 1.5707
2.976 26.1882 -1.3751 0.3292 1.5707
3.008 26.2107 -1.3749 0.3292 1.5707
3.040 26.2332 -1.3748 0.3292 1.5707
3.072 26.2558 -1.3746 0.3292 1.5707
3.104 26.2783 -1.3744 0.3292 1.5707
3.136 26.3008 -1.3743 0.3292 1.5708
3.168 26.3234 -1.3741 0.3292 1.5708
3.200 26.3459 -1.3739 0.3292 1.5708
3.232 26.3684 -1.3738 0.3292 1.5708
3.264 26.3909 -1.3736 0.3292 1.5708
3.296 26.4135 -1.3734 0.3292 1.5708
3.328 26.4360 -1.3733 0.3292 1.5708
3.360 26.4585 -1.3731 0.3292 1.5708
3.392 26.4810 -1.3730 0.3292 1.5708
3.424 26.5036 -1.3728 0.3292 1.5708
3.456 26.5261 -1.3726 0.3292 1.5708
3.488 26.5486 -1.3725 0.3292 1.5708
3.520 26.5712 -1.3723 0.3292 1.5708
3.552 26.5937 -1.3721 0.3292 1.5708
3.584 26.6162 -1.3720 0.3292 1.5708
3.616 26.6387 -1.3718 0.3292 1.5708
3.648 26.6613 -1.3716 0.3292 1.5708
3.680 26.6838 -1.3715 0.3292 1.5708
3.712 26.7063 -1.3713 0.3292 1.5707
3.744 26.7289 -1.3712 0.3292 1.5707
3.776 26.7514 -1.3710 0.3292 1.5707
3.808 26.7739 -1.3708 0.3292 1.5707
3.840 26.7964 -1.3707 0.3292 1.5707
3.872 26.8190 -1.3705 0.3292 1.5707
3.904 26.8415 -1.3703 0.3292 1.5707
3.936 26.8640 -1.3702 0.3292 1.5707
3.968 26.8865 -1.3700 0.3292 1.5707
4.000 26.9091 -1.3698 0.3292 1.5707
4.032 26.9316 -1.3697 0.3292 1.5707
4.064 26.9541 -1.3695 0.3292 1.5707
4.096 26.9767 -1.3694 0.3292 1.5707
4.128 26.9992 -1.3692 0.3292 1.5708
4.160 27.0217 -1.3690 0.3292 1.5708
4.192 27.0442 -1.3689 0.3292 1.5708
4.224 27.0668 -1.3687 0.3292 1.5708
4.256 27.0893 -1.3685 0.3292 1.5708
4.288 27.1118 -1.3684 0.3292 1.5708
4.320 27.1343 -1.3682 0.3292 1.5708
4.352 27.1569 -1.3680 0.3292 1.5708
4.384 27.1794 -1.3679 0.3292 1.5708
4.416 27.2019 -1.3677 0.3292 1.5708
4.448 27.2245 -1.3675 0.3292 1.5708
4.480 27.2470 -1.3674 0.3292 1.5708
4.512 27.2695 -1.3672 0.3292 1.5708
4.544 27.2920 -1.3671 0.3292 1.5708
4.576 27.3146 -1.3669 0.3292 1.5708
4.608 27.3371 -1.3667 0.3292 1.5708
4.640 27.3596 -1.3666 0.3292 1.5708
4.672 27.3821 -1.3664 0.3292 1.5707
4.704 27.4047 -1.3662 0.3292 1.5707
4.736 27.4272 -1.3661 0.3292 1.5707
4.768 27.4497 -1.3659 0.3292 1.5707
4.800 27.4723 -1.3657 0.3292 1.5707
4.832 27.4948 -1.3656 0.3292 1.5707
4.864 27.5173 -1.3654 0.3292 1.5707
4.896 27.5398 -1.3653 0.3292 1.5707
4.928 27.5624 -1.3651 0.3292 1.5707
4.960 27.5849 -1.3649 0.3292 1.5707
4.992 27.6074 -1.3648 0.3292 1.5707
5.024 27.6299 -1.3646 0.3292 1.5707
5.056 27.6525 -1.3644 0.3292 1.5707
5.088 27.6750 -1.3643 0.3292 1.5707
5.120 27.6975 -1.3641 0.3292 1.5708
5.152 27.7201 -1.3639 0.3292 1.5708
5.184 27.7426 -1.3638 0.3292 1.5708
5.216 27.7651 -1.3636 0.3292 1.5708
5.248 27.7876 -1.3634 0.3292 1.5708
5.280 27.8102 -1.3633 0.3292 1.5708
5.312 27.8327 -1.3631 0.3292 1.5708
5.344 27.8552 -1.3630 0.3292 1.5708
5.376 27.8777 -1.3628 0.3292 1.5708
5.408 27.9003 -1.3626 0.3292 1.5708
5.440 27.9228 -1.3625 0.3292 1.5708
5.472 27.9453 -1.3623 0.3292 1.5708
5.504 27.9679 -1.3621 0.3292 1.5708
5.536 27.9904 -1.3620 0.3292 1.5708
5.568 28.0129 -1.3618 0.3292 1.5708
5.600 28.0354 -1.3616 0.3292 1.5708
5.632 28.0580 -1.3615 0.3292 1.5708
5.664 28.0805 -1.3613 0.3292 1.5707
5.696 28.1030 -1.3612 0.3292 1.5707
5.728 28.1255 -1.3610 0.3292 1.5707
5.760 28.1481 -1.3608 0.3292 1.5707
5.792 28.1706 -1.3607 0.3292 1.5707
5.824 28.1931 -1.3605 0.3292 1.5707
5.856 28.2157 -1.3603 0.3292 1.5707
5.888 28.2382 -1.3602 0.3292 1.5707
5.920 28.2607 -1.3600 0.3292 1.5707
5.952 28.2832 -1.3598 0.3292 1.5707
5.984 28.3058 -1.3597 0.3292 1.5707
6.016 28.3283 -1.3595 0.3292 1.5707
6.048 28.3508 -1.3593 0.3292 1.5707
6.080 28.3734 -1.3592 0.3292 1.5707
6.112 28.3959 -1.3590 0.3292 1.5708
6.144 28.4184 -1.3589 0.3292 1.5708
6.176 28.4409 -1.3587 0.3292 1.5708
6.208 28.4635 -1.3585 0.3292 1.5708
6.240 28.4860 -1.3584 0.3292 1.5708
6.272 28.5085 -1.3582 0.3292 1.5708
6.304 28.5310 -1.3580 0.3292 1.5708
6.336 28.5536 -1.3579 0.3292 1.5708
6.368 28.5761 -1.3577 0.3292 1.5708
6.400 28.5986 -1.3575 0.3292 1.5708
6.432 28.6212 -1.3574 0.3292 1.5708
6.464 28.6437 -1.3572 0.3292 1.5708
6.496 28.6662 -1.3571 0.3292 1.5708
6.528 28.6887 -1.3569 0.3292 1.5708
6.560 28.7113 -1.3567 0.3292 1.5708
6.592 28.7338 -1.3566 0.3292 1.5708
6.624 28.7563 -1.3564 0.3292 1.5708
6.656 28.7788 -1.3562 0.3292 1.5707
6.688 28.8014 -1.3561 0.3292 1.5707
6.720 28.8239 -1.3559 0.3292 1.5707
6.752 28.8464 -1.3557 0.3292 1.5707
6.784 28.8690 -1.3556 0.3292 1.5707
6.816 28.8915 -1.3554 0.3292 1.5707
6.848 28.9140 -1.3553 0.3292 1.5707
6.880 28.9365 -1.3551 0.3292 1.5707
6.912 28.9591 -1.3549 0.3292 1.5707
6.944 28.9816 -1.3548 0.3292 1.5707
6.976 29.0041 -1.3546 0.3292 1.5707
7.008 29.0266 -1.3544 0.3292 1.5707
7.040 29.0492 -1.3543 0.3292 1.5707
7.072 29.0717 -1.3541 0.3292 1.5707
7.104 29.0942 -1.3539 0.3292 1.5708
7.136 29.1168 -1.3538 0.3292 1.5708
7.168 29.1393 -1.3536 0.3292 1.5708
7.200 29.1618 -1.3534 0.3292 1.5708
7.232 29.1843 -1.3533 0.3292 1.5708
7.264 29.2069 -1.3531 0.3292 1.5708
7.296 29.2294 -1.3530 0.3292 1.5708
7.328 29.2519 -1.3528 0.3292 1.5708
7.360 29.2744 -1.3526 0.3292 1.5708
7.392 29.2970 -1.3525 0.3292 1.5708
7.424 29.3195 -1.3523 0.3292 1.5708
7.456 29.3420 -1.3521 0.3292 1.5708
7.488 29.3646 -1.3520 0.3292 1.5708
7.520 29.3871 -1.3518 0.3292 1.5708
7.552 29.4096 -1.3516 0.3292 1.5708
7.584 29.4321 -1.3515 0.3292 1.5708
7.616 29.4547 -1.3513 0.3292 1.5708
7.648 29.4772 -1.3512 0.3292 1.5707
7.680 29.4997 -1.3510 0.3292 1.5707
7.712 29.5222 -1.3508 0.3292 1.5707
7.744 29.5448 -1.3507 0.3292 1.5707
7.776 29.5673 -1.3505 0.3292 1.5707
7.808 29.5898 -1.3503 0.3292 1.5707
7.840 29.6124 -1.3502 0.3292 1.5707
7.872 29.6349 -1.3500 0.3292 1.5707
7.904 29.6574 -1.3498 0.3292 1.5707
7.936 29.6799 -1.3497 0.3292 1.5707
7.968 29.7025 -1.3495 0.3292 1.5707
8.000 29.7250 -1.3493 0.3292 1.5707
8.032 29.7475 -1.3492 0.3292 1.5707
8.064 29.7701 -1.3490 0.3292 1.5708
8.096 29.7926 -1.3489 0.3292 1.5708
8.128 29.8151 -1.3487 0.3292 1.5708
8.160 29.8376 -1.3485 0.3292 1.5708
8.192 29.8602 -1.3484 0.3292 1.5708
8.224 29.8827 -1.3482 0.3292 1.5708
8.256 29.9052 -1.3480 0.3292 1.5708
8.288 29.9277 -1.3479 0.3292 1.5708
8.320 29.9503 -1.3477 0.3292 1.5708
8.352 29.9728 -1.3475 0.3292 1.5708
8.384 29.9953 -1.3474 0.3292 1.5708
8.416 30.0179 -1.3472 0.3292 1.5708
8.448 30.0404 -1.3471 0.3292 1.5708
8.480 30.0629 -1.3469 0.3292 1.5708
8.512 30.0854 -1.3467 0.3292 1.5708
8.544 30.1080 -1.3466 0.3292 1.5708
8.576 30.1305 -1.3464 0.3292 1.5708
8.608 30.1530 -1.3462 0.3292 1.5707
8.640 30.1755 -1.3461 0.3292 1.5707
8.672 30.1981 -1.3459 0.3292 1.5707
8.704 30.2206 -1.3457 0.3292 1.5707
8.736 30.2431 -1.3456 0.3292 1.5707
8.768 30.2657 -1.3454 0.3292 1.5707
8.800 30.2882 -1.3453 0.3292 1.5707
8.832 30.3107 -1.3451 0.3292 1.5707
8.864 30.3332 -1.3449 0.3292 1.5707
8.896 30.3558 -1.3448 0.3292 1.5707
8.928 30.3783 -1.3446 0.3292 1.5707
8.960 30.4008 -1.3444 0.3292 1.5707
8.992 30.4233 -1.3443 0.3292 1.5707
9.024 30.4459 -1.3441 0.3292 1.5707
9.056 30.4684 -1.3439 0.3292 1.5708
9.088 30.4909 -1.3438 0.3292 1.5708
9.120 30.5135 -1.3436 0.3292 1.5708
9.152 30.5360 -1.3434 0.3292 1.5708
9.184 30.5585 -1.3433 0.3292 1.5708
